City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,brisas de zicatela,15.8369,-97.0419,299.24,76,88,2.15,MX,1697600568
258,paka,4.6374,103.4368,302.11,84,20,0.0,MY,1697600568
259,brookings,44.3114,-96.7984,287.8,58,0,7.72,US,1697600568
260,turochak,52.2576,87.1224,283.35,75,1,1.11,RU,1697600569
261,holbrook,40.8123,-73.0784,285.41,82,40,0.0,US,1697600526
262,elliot lake,46.3834,-82.6331,277.69,95,0,1.33,CA,1697600569
263,udachny,66.4167,112.4,264.51,85,95,6.88,RU,1697600569
264,nouadhibou,20.931,-17.0347,296.14,88,11,5.66,MR,1697600569
265,bokovskaya,49.229,41.8306,275.29,72,0,3.56,RU,1697600569
266,queenstown,-31.8976,26.8753,285.78,65,0,1.65,ZA,1697600570
267,erenhot,43.6475,111.9767,284.74,18,8,10.67,CN,1697600570
268,ondo,7.1,4.8333,294.45,97,90,0.34,NG,1697600570
269,borujen,31.9652,51.2873,283.2,27,0,1.45,IR,1697600570
270,mwene-ditu,-7.0,23.45,291.84,98,100,1.63,CD,1697600570
271,sandnessjoen,66.0217,12.6316,276.21,81,0,2.06,NO,1697600570
272,skidaway island,31.9349,-81.0471,288.7,81,100,1.54,US,1697600571
273,santa cruz,-17.8,-63.1667,300.85,61,20,1.54,BO,1697600571
274,yemel'yanovo,56.1681,92.6767,282.64,81,75,7.15,RU,1697600571
275,shimoda,34.6667,138.95,296.35,61,2,2.12,JP,1697600571
276,martuk,50.7475,56.5056,278.35,71,16,4.64,KZ,1697600571
277,rezh,57.37,61.4043,279.94,55,100,4.62,RU,1697600571
278,comodoro rivadavia,-45.8667,-67.5,281.07,57,0,3.09,AR,1697600572
279,lospalos,-8.5186,127.0025,302.68,44,26,5.16,TL,1697600572
280,assab,13.0092,42.7394,302.01,72,90,9.86,ER,1697600490
281,baxter,46.3433,-94.2867,286.31,62,75,1.54,US,1697600572
282,tot'ma,59.9747,42.7642,275.31,88,100,5.47,RU,1697600572
283,sinop,41.7711,34.8709,282.9,92,100,2.33,TR,1697600572
284,castillos,-34.1667,-53.8333,280.56,85,3,3.0,UY,1697600572
285,vilyuysk,63.7553,121.6247,269.92,96,100,2.24,RU,1697600573
286,lautoka,-17.6167,177.4667,301.07,69,40,6.17,FJ,1697600573
287,lazaro cardenas,17.9583,-102.2,298.88,87,100,1.02,MX,1697600573
288,toppenish,46.3774,-120.3087,287.42,48,99,0.25,US,1697600573
289,cockburn town,21.4612,-71.1419,302.05,74,56,5.82,TC,1697600573
290,mil'kovo,55.6078,37.7956,277.23,84,47,5.44,RU,1697600573
291,kamin-kashyrskyi,51.6241,24.9586,275.68,78,94,3.38,UA,1697600574
292,palmer,42.1584,-72.3287,284.87,83,75,0.0,US,1697600574
